Rank,Area,Value
1,Mongolia,143.8575
2,Iceland,131.3442
3,Serbia,131.1102
4,Montenegro,128.7156
5,Ireland,126.828
6,Israel,123.9108
7,Argentina,119.969
8,Türkiye,117.6864
9,Saint Vincent and the Grenadines,115.668
10,Luxembourg,115.479
11,Guyana,114.512
12,Norway,114.4962
13,Azerbaijan,109.4391
14,Sweden,109.3014
15,Denmark,109.0752
16,United Kingdom of Great Britain and Northern Ireland,108.0144
17,Belgium,107.7336
18,Turkmenistan,107.244
19,Belarus,105.9864
20,Finland,105.8148
21,Bahamas,105.247
22,Uzbekistan,104.7735
23,Romania,103.7556
24,Tunisia,103.2669
25,Uruguay,102.5525
26,Albania,102.0006
27,Brazil,101.881
28,Portugal,101.8602
29,Kazakhstan,101.5821
30,Saint Lucia,101.507
31,Russian Federation,101.439
32,Armenia,101.1852
33,Bosnia and Herzegovina,101.1816
34,Bahrain,100.4319
35,Lithuania,99.6372
36,Chile,99.0335
37,Malta,98.8728
38,Qatar,98.7957
39,Greece,98.7636
40,Hungary,98.6154
41,Switzerland,98.5998
42,Croatia,98.1552
43,Estonia,97.9992
44,"China, mainland",97.7775
45,Saudi Arabia,97.6941
46,Slovenia,97.461
47,China,97.4175
48,Antigua and Barbuda,97.393
49,Netherlands (Kingdom of the),97.3596
50,Mexico,96.8235
51,Austria,96.7356
52,Belize,96.577
53,Kuwait,96.5277
54,Poland,96.5172
55,Barbados,96.3305
56,Grenada,95.727
57,Tonga,94.68500000000002
58,France,94.6218
59,North Macedonia,93.8184
60,Mauritius,93.7629
61,Spain,93.6858
62,Saint Kitts and Nevis,93.262
63,Latvia,93.1866
64,"China, Hong Kong SAR",93.06
65,Kyrgyzstan,92.9961
66,Italy,92.9838
67,Germany,92.5392
68,"China, Macao SAR",92.2125
69,Georgia,91.6515
70,Morocco,90.7848
71,Panama,89.42
72,Algeria,89.1567
73,Cyprus,88.87320000000001
74,Trinidad and Tobago,88.706
75,Jamaica,88.672
76,United Arab Emirates,87.9822
77,Seychelles,87.7646
78,Australia,87.38860000000001
79,United States of America,86.739
80,Peru,86.717
81,El Salvador,86.479
82,Tajikistan,85.68990000000001
83,Czechia,85.2618
84,Republic of Moldova,84.4428
85,Costa Rica,83.963
86,Bolivia (Plurinational State of),82.8325
87,Libya,82.4256
88,Ukraine,81.8922
89,Malaysia,80.1531
90,Egypt,78.77250000000001
91,Marshall Islands,78.5262
92,Colombia,77.928
93,Oman,77.72760000000001
94,Viet Nam,77.0406
95,"China, Taiwan Province of",76.8975
96,Lebanon,76.70700000000001
97,Dominican Republic,76.449
98,Bulgaria,76.011
99,Mauritania,75.8322
100,Iran (Islamic Republic of),75.7431
101,Burkina Faso,74.33370000000001
102,Canada,74.2052
103,Slovakia,73.9674
104,Cabo Verde,73.61280000000001
105,Gabon,73.3617
106,Venezuela (Bolivarian Republic of),73.236
107,Iraq,73.16730000000001
108,Niger,73.0134
109,Nauru,72.9872
110,New Caledonia,72.44200000000001
111,Jordan,72.00900000000001
112,Republic of Korea,71.7675
113,Syrian Arab Republic,71.7579
114,Guatemala,71.6125
115,Pakistan,71.5294
116,Ecuador,70.4055
117,New Zealand,70.21480000000001
118,Suriname,70.023
119,French Polynesia,69.9132
120,Maldives,69.2884
121,Samoa,69.1824
122,South Africa,69.1768
123,Nicaragua,68.9435
124,Nepal,65.902
125,Ethiopia,65.80420000000001
126,Afghanistan,65.7858
127,Tuvalu,63.573800000000006
128,Philippines,63.17959999999999
129,Botswana,62.9244
130,India,62.7895
131,Paraguay,62.330499999999994
132,Djibouti,62.00039999999999
133,Senegal,61.592400000000005
134,Lao People's Democratic Republic,61.378499999999995
135,Timor-Leste,60.5153
136,Zimbabwe,59.8906
137,Fiji,59.86760000000001
138,Bhutan,59.1292
139,Honduras,59.049499999999995
140,Indonesia,58.349
141,Namibia,57.4959
142,Congo,55.1772
143,Myanmar,55.09539999999999
144,Cameroon,53.9703
145,Malawi,53.330200000000005
146,Eswatini,52.4909
147,Thailand,51.5762
148,Côte d'Ivoire,51.410700000000006
149,Sri Lanka,51.2442
150,Kenya,50.9586
151,Bangladesh,50.7213
152,Ghana,49.2237
153,Gambia,49.1994
154,Lesotho,46.6389
155,United Republic of Tanzania,46.1153
156,Vanuatu,45.82000000000001
157,Guinea,45.473400000000005
158,Comoros,45.2529
159,Cambodia,44.7204
160,Nigeria,44.031600000000005
161,Yemen,43.7805
162,Papua New Guinea,43.5116
163,Sao Tome and Principe,43.44840000000001
164,Guinea-Bissau,42.946200000000005
165,Haiti,41.837
166,Rwanda,41.5569
167,Uganda,40.5097
168,Micronesia (Federated States of),39.805400000000006
169,Kiribati,39.7706
170,Zambia,39.5395
171,Sierra Leone,39.4794
172,Liberia,39.0825
173,Angola,37.961
174,Mozambique,34.5576
175,Madagascar,29.6912
176,Solomon Islands,28.2402
177,Democratic Republic of the Congo,22.0725
